Date,AAPL,GOOGL,IBM,JPM,MSFT,TSLA
2020-01-02,72.62084197998047,68.0260238647461,101.24512481689453,120.73355102539062,153.04229736328125,28.68400001525879
2020-01-03,71.9148178100586,67.67015075683594,100.43767547607422,119.14031219482422,151.1366729736328,29.534000396728516
2020-01-06,72.48786163330078,69.47383880615234,100.25824737548828,119.04558563232422,151.5272674560547,30.1026668548584
2020-01-07,72.14694213867188,69.33964538574219,100.32553100585938,117.02172088623047,150.14569091796875,31.270666122436523
2020-01-08,73.30752563476562,69.83318328857422,101.16291046142578,117.93462371826172,152.5373077392578,32.80933380126953
2020-01-09,74.8646240234375,70.56629943847656,102.23200988769531,118.36524200439453,154.4429473876953,32.089332580566406
2020-01-10,75.03387451171875,71.02204895019531,102.19461059570312,117.18537139892578,153.7283477783203,31.876667022705078
2020-01-13,76.6369400024414,71.57225799560547,102.12732696533203,118.15852355957031,155.57681274414062,34.990665435791016
2020-01-14,75.60206604003906,71.10307312011719,101.5441665649414,119.5364761352539,154.4810791015625,35.861331939697266
2020-01-15,75.278076171875,71.53101348876953,102.14230346679688,117.74517059326172,155.48153686523438,34.56666564941406
2020-01-16,76.22105407714844,72.07574462890625,103.15908813476562,118.20159912109375,158.33050537109375,34.232666015625
2020-01-17,77.06489562988281,73.53498077392578,103.40580749511719,119.0197525024414,159.21656799316406,34.03333282470703
2020-01-21,76.5426025390625,73.6706771850586,104.04877471923828,117.8485107421875,158.6448516845703,36.47999954223633
2020-01-22,76.81584930419922,73.75119018554688,107.57760620117188,117.7107162475586,157.8826141357422,37.97066879272461
2020-01-23,77.185791015625,73.79194641113281,106.8150405883789,117.59012603759766,158.85452270507812,38.14666748046875
2020-01-24,76.96334075927734,72.8714599609375,105.08796691894531,114.67060852050781,157.2537841796875,37.654666900634766
2020-01-27,74.70021057128906,71.15973663330078,103.63758087158203,113.7060546875,154.62400817871094,37.201332092285156
2020-01-28,76.81341552734375,72.09264373779297,104.33287811279297,115.77296447753906,157.65394592285156,37.793331146240234
2020-01-29,78.42131042480469,72.40079498291016,102.94225311279297,115.6007308959961,160.1122589111328,38.732666015625
2020-01-30,78.30767059326172,72.27901458740234,102.25443267822266,117.03033447265625,164.6286163330078,42.72066879272461
2020-01-31,74.83560943603516,71.2119140625,107.45801544189453,113.99027252197266,162.1989288330078,43.371334075927734
2020-02-03,74.63009643554688,73.68806457519531,109.35700225830078,114.86009216308594,166.1531524658203,52.0
2020-02-04,77.09390258789062,71.83965301513672,111.48027801513672,116.51361846923828,171.62229919433594,59.137332916259766
2020-02-05,77.72254943847656,71.87145233154297,116.87822723388672,118.49440002441406,171.4127197265625,48.97999954223633
2020-02-06,78.63166809082031,73.35855102539062,117.19969177246094,118.51161193847656,174.96673583984375,49.930667877197266
2020-02-07,77.56285095214844,73.51460266113281,115.89280700683594,118.13269805908203,175.21444702148438,49.871334075927734
2020-02-10,77.93124389648438,74.9832992553711,116.66336822509766,118.62361907958984,179.79754638671875,51.41866683959961
2020-02-11,77.46106719970703,75.05288696289062,115.94569396972656,118.84748840332031,175.73854064941406,51.62533187866211
2020-02-12,79.30057525634766,75.47882843017578,117.32813262939453,118.84748840332031,175.99581909179688,51.15266799926758
2020-02-13,78.7358627319336,75.21839141845703,116.57270050048828,118.7441635131836,175.04295349121094,53.599998474121094
2020-02-14,78.75525665283203,75.48379516601562,113.84554290771484,118.38246154785156,176.6055908203125,53.33533477783203
2020-02-18,77.313232421875,75.51908874511719,114.14773559570312,116.81503295898438,178.39688110351562,57.22666549682617
2020-02-19,78.43294525146484,75.7889633178711,113.9664077758789,118.40827941894531,178.9319610595703,61.16133117675781
2020-02-20,77.62830352783203,75.3973159790039,114.23837280273438,118.40827941894531,176.19940185546875,59.96066665649414
2020-02-21,75.87117767333984,73.7308120727539,113.19585418701172,116.9614486694336,170.6292724609375,60.06666564941406
2020-02-24,72.26726531982422,70.56976318359375,110.61975860595703,113.81803131103516,163.27252197265625,55.58599853515625
2020-02-25,69.81941986083984,68.90277099609375,107.05406951904297,108.73684692382812,160.57823181152344,53.32733154296875
2020-02-26,70.92699432373047,69.1090316772461,105.57342529296875,109.06410217285156,162.58462524414062,51.91999816894531
2020-02-27,66.29063415527344,65.35553741455078,100.5572509765625,104.52552032470703,151.12904357910156,45.266666412353516
2020-02-28,66.25184631347656,66.56330108642578,98.32113647460938,99.99552154541016,154.7883758544922,44.53266525268555
2020-03-02,72.4199447631836,68.90277099609375,101.45622253417969,104.65472412109375,165.08782958984375,49.574668884277344
2020-03-03,70.11994934082031,66.48725128173828,97.37684631347656,100.7275619506836,157.17689514160156,49.70066833496094
2020-03-04,73.37242126464844,68.66817474365234,101.39580535888672,103.21647644042969,162.94764709472656,49.96666717529297
2020-03-05,70.9924545288086,65.34609985351562,97.86787414550781,98.15253448486328,158.8584747314453,48.30266571044922
2020-03-06,70.04964447021484,64.40076446533203,96.49295806884766,93.07999420166016,154.3679656982422,46.89866638183594
2020-03-09,64.50929260253906,60.42709732055664,88.99896240234375,80.4718246459961,143.9060821533203,40.53333282470703
2020-03-10,69.15534973144531,63.37840270996094,94.2568359375,86.72422790527344,153.74691772460938,43.02199935913086
2020-03-11,66.7535629272461,60.18405532836914,89.11981964111328,82.64208221435547,146.7818603515625,42.28200149536133
2020-03-12,60.161319732666016,55.24616622924805,77.66728210449219,75.82987976074219,132.86134338378906,37.369998931884766
2020-03-13,67.369140625,60.3515510559082,81.55028533935547,89.48873138427734,151.75010681152344,36.44133377075195
